termid,courseid,title,prof_string,all_listings_string,area,prereqs,descrip
"1152","008606","Traditional Chinese Architecture","Jerome Silbergeld","ART 351 ARC 351 EAS 357","LA","","Thematic introduction to traditional Chinese architecture  urban design and garden building  with attention to principles and symbolism of siting and design; building techniques; modularity of structures and interchangeability of palace  temple  tomb  and domestic design; regional variation."
"1152","012820","Roots in 20th-Century France and Germany","Christy N. Wampole","FRE 406 GER 406","EM","Reading knowledge in French and German is helpful but not necessary. French concentrators and certificate students are required to do the work in French..","This course traces the problematic theme of rootedness  a metaphor for the genealogical origins of people and their attachment to geographical spaces  in the literature  philosophy  and politics of 20th-century France and Germany. Topics: nationalism and regionalism; word roots (Heidegger's etymologizing metaphysics); Jung and Bachelard on roots and the subconscious; Sartre's abject root and the phenomenologists' efforts to \"reground\" philosophy; Derrida's negotiation of radicality; the root-to-rhizome shift proposed by Deleuze and Guattari; recent attempts to create a non-anthropocentric philosophy; transplantation and colonization."
"1152","011164","Implementations of Quantum Information","Stephen A. Lyon","ELE 568","","","An overview of several approaches to implementing quantum information and computation  touching briefly on quantum algorithms  but the main focus being physical systems. In particular  the course discusses what makes a good quantum system  the physics behind the leading implementations  and the limitations on each. Topics covered will include: superconducting qubits  electron and nuclear spin qubits  and ion trap qubits  as well as descriptions of gate-based  adiabatic  and topologically protected quantum architectures."
"1152","008595","The Rise of France: French Literature  Culture  and Society from the Beginnings to 1789","Christopher J. Davis","FRE 221","LA","Prerequisites: FRE 107  FRE 108  or equivalent  or permission of Instructor..","This course introduces students to French literature  history and culture from the Middle Ages to the French Revolution by focusing on the themes of travel  exploration and exchange. From the medieval literature of quest and crusade through Early Modern and Enlightenment narratives of travel to the Americas and Asia  we will examine how French cultural and political consciousness develops through representations of exoticism and otherness. Texts to be read include: La Chanson de Roland  Le Devisement du Monde of Marco Polo  Les Lettres Persanes of Montesquieu and Voltaire's classic Candide. Readings  discussion and written work in French."
"1152","006917","Economic Analysis of Development (Advanced)","Anne C. Case","WWS 562","","WWS 507C & 511C.","Considers theories and evidence to explain processes of economic development; examines theories of economic growth  and the two-way links between development and poverty  inequality  social institutions  and the family. Policy debates on education  health  and social policy  and governmental and international aid are also covered."
"1152","012913","Effective Mathematical Communication","Christine J. Taylor","MAT 500","","For second-year graduate students..","This course is for second-year graduate students to help them develop their writing and speaking skills for communicating mathematics in a wide variety of settings  including teaching  grant applications  teaching statement  research statement  talks aimed at a general mathematical audience  and seminars  etc. In addition  responsible conduct in research (RCR) training is an integral part of this course."
"1152","011498","Topics in Policy Analysis (Half-Term) - The Eurozone Crisis and Beyond","Ashoka Mody","WWS 593","","","In the second half of 2011  the crisis in the eurozone threatened to run out of control. This course discusses four themes: 1) the critiques of the concept of the eurozone prior to January 1999; 2) why the eurozone appeared a major success at its 10th anniversary  which coincided with the beginning of the global economic crisis; 3) the interconnected nature of the crisis  weak sovereigns  weak banks  and weak growth prospects; and 4) the domestic and multilateral measures to deal with the crisis. The course also considers the future of the eurozone."
"1152","002598","Junior Seminar in Critical Writing","Sarah M. Anderson|Maria A. DiBattista|Joshua I. Kotin|Kinohi Nishikawa|Susan J. Wolfson","ENG 300","","","Students learn to write clear and persuasive criticism in a workshop setting while becoming familiar with a variety of critical practices and research methods. The course culminates in the writing of a junior paper. Each section will pursue its own topic: students are assigned according to choices made during sophomore sign-ins. Required of all English majors."
"1152","011131","Drug Discovery in the Genomics Era","Paul J. Reider","CHM 440","","Two semesters of organic chemistry (CHM 301 & 302 OR CHM 303 & 304/304B) or the equivalent..","A detailed review of recent successes and failures in the discovery of new drugs. Therapeutic areas to be discussed include: HIV  oncology  asthma  Alzheimer's Disease  antibiotics  diabetes  and neglected diseases (malaria  TB  human African Trypaonosomiasis). Case studies presented by leading pharmaceutical scientists will complement discussions of the functional steps required to select a target  indentify a new chemical entity  and get it to patients. The course will emphasize the integration of the molecular sciences and the role of chemistry in inventing and producing important new medicines."
"1152","000303","Topics in the History and Theory of Architecture","Lucia Allais","ARC 403","LA","","We will consider that a successful thesis entails the meeting of a socio-cultural problematic with a specific disciplinary issue  that the confluence and exchange between these external and internal situations can instigate an original contribution to architectural knowledge and technique. The \"newness\" of this contribution comes through a particular kind of repetition  a wily swerve within the established canon. The seminar will introduce disciplinary methods and themes through close readings of architectural texts and objects and will provide a workshop for the testing and elaboration of architectural polemics through directed research."
"1152","012776","Biopolitics in China and Beyond","Everett Y. Zhang","EAS 586 ANT 586","","","Biopolitics has been one of the most heated topics of inquiry in the past two decades in social sciences and humanities. This course traces its origins and discusses its important anthropological implications. While engaging with its major Euro-American thinkers and interlocutors in global context  this course introduces the practices of biopolitics in China to examine its non-Western roots and historical conditions unique to the discussion of biopolitics --China's modernity under the influences of its long dynasties  its semi-colonial experience  and most importantly  its communist revolution  Maoist socialism  and post-Mao reform."
"1152","012780","Freud","Rachel Bowlby","COM 552","","","Through close reading of primary texts  this course offers an introduction to the diversity of Freud's writings  and to the movements of his thinking until his death in 1939. Beginning with the Studies on Hysteria (co-authored with Josef Breuer in the mid-1890s)  which presents the practice and theory from which twentieth-century psychoanalysis would develop  we will consider the conceptual questions and innovations that occupied Freud across the next forty years  with readings on key topics such as sexual difference  literature  culture  therapeutic practice  dreams and fantasy  and everyday life."
"1152","002693","Special Studies in Medieval Literature - Instituting Literature","Donald Vance Smith","ENG 511","","","What is it that sets \"literature\" apart from vernacular writing in general in medieval England? We examine the concept of \"institution\" in political theory  the philosophy of language  the creation of literary value  and the historiography of secularization and rupture. We discuss texts in which the shaping of institutions is a mode of literary self-constitution  and institutions that contribute to the shaping of texts  including mortuary guilds  mendicant and monastic orders  affinities and \"bastard\" feudalism  chantry chapels."
"1152","004988","Dissertation Seminar","Shamik Dasgupta","PHI 599","","","Open to post-generals students actively working on their dissertations. The seminar aims at assisting students in their research and writing and at developing their teaching skills by improving their ability to present advanced material to less expert audiences. Students make presentations of work in progress  discuss each other's work  and share common pedagogical problems and solutions under the guidance of one or more faculty members. It meets for two hours each week throughout the academic year."
"1152","003243","Beginner's Greek: Greek Grammar","Emmanuel C. Bourbouhakis","CLG 101","","Greek 101-102 are a unit. Greek 102 must be taken to receive credit for 101. Greek 101 must be passed to qualify for 102..","Designed to enable the student to read classical Attic Greek with facility; at the end of the year a short Platonic dialogue or comparable text will be read. Equal emphasis on acquiring a vocabulary and an understanding of the structure of the language."
"1152","004537","Special Topics in the History of Science  Technology  and Medicine - Alchemy","Jennifer M. Rampling","HOS 599 HIS 599","","","This History of Science graduate seminar will explore the topic of Alchemy."
"1152","002542","Special Topics in Information Sciences and Systems - Quantum Information Theory","Paul W. Cuff","ELE 538","","","This class builds quantum information theory \"from the ground up\" connecting it to classical information theory at each step of the way. No prior expertise is assumed  though familiarity with information theory is a plus."
"1152","001192","Laboratory Techniques in Materials Science and Engineering","Craig B. Arnold|James C. Sturm|Saurabh Vyawahare","MSE 302","STL","MSE 301 or MAE 324 or CEE 364. Enrollment in this course is restricted with preference given to Certificate candidates. This course is required for students wishing to obtain a Materials Certificate..","A hands-on introduction to the use of laboratory techniques for processing and characterization in materials science. Structure-property relations will be explored through experiments in mechanical  optical  biological  and electronic properties of materials. The underlying theories and lab techniques will be explained in two weekly lectures covering such topics as electronic and mechanical properties  electron microscopy  electron diffraction and materials processing. The goal of this course if for the student to develop a solid understanding of materials properties and the common techniques used in research  as well as to gain valuable"
"1152","007896","Introductory Playwriting","Robert N. Sandberg","THR 205","LA","Enrollment by interview with the instructor  Professor Robert Sandberg (rsand@Princeton.edu). Please contact Professor Sandberg for more information..","This is a workshop in the fundamentals of writing plays. Emphasis will be on solving problems of structure  dramatic action  and character. Attention will also be given to innerlife  language  atmosphere on stage  creating living dialogue  and examining the sources to be used in writing  etc."
"1152","011117","Postblack - Contemporary African American Art","Chika O. Okeke-Agulu","AAS 372 ART 374 AMS 372","LA","","As articulated by Thelma Golden  postblack refers to the work of African American artists who emerged in the 1990s with ambitious  irreverent  and sassy work. Though hard to define  postblack suggested the emergence of a generation of artists removed from the long tradition of black affirmation of the Harlem Renaissance  black empowerment of the Black Arts movement  and identity politics of the 1980s and early 90s. This seminar provides an opportunity for a deep engagement with the work of African American artists of the past decade. It will involve critical and theoretical readings on multiculturalism  race  identity  and contemporary art."
"1152","003916","Seminar in Italian Literature and Culture - Performance and Spectacle in Modern Italian Theater and Film","Gaetana Marrone-Puglia","ITA 401","LA","200-level Italian course or permission of instructor..","The purpose of this course will be to explore the dynamics of spectacle and performance (artistic  political  sexual  anthropological) in representative plays and films by major Italian authors of the 20th century. A close analysis of works by the Futurists  Eleonora Duse  Pirandello  Fo  De Filippo  Bertolucci  Fellini  and Visconti will enable us to address questions of a textual and critical nature related to contemporary issues. Special attention will be given to the representation of individual and societal tensions  the imaging of the female voice  and the relations between the political and artistic imagination."
"1152","004158","Honors Analysis (Single Variable)","Sun-Yung A. Chang|Mark W. McConnell","MAT 215","QR","","An introduction to the mathematicsal discipline of analysis  to prepare for higher-level course work in the department. Topics include rigorous epsilon-delta treatment of limits  convergence  and uniform convergence of sequences and series. Continuity  uniform continuity  and differentiability of functions. The Heine-Borel Theorem. The Rieman integral  conditions for integrability of functions and term by term differentiation and integration of series of functions  Taylor's Theorem."
"1152","010437","Muslims and the Qur'an","Muhammad Q. Zaman","NES 240 REL 240","EM","","A broad-ranging introduction to pre-modern  modern  and contemporary Islam in light of how Muslims have approached their foundational religious text  the Qur'an. Topics include: Muhammad and the emergence of Islam; theology  law and ethics; war and peace; mysticism; women and gender; and modern debates on Islamic reform. We shall examine the varied contexts in which Muslims have interpreted their sacred text  their agreements and disagreements on what it means and  more broadly  their often competing understandings of Islam and of what it is to be a Muslim."
"1152","009205","American Revolutions","Dov Weinryb Grohsgal","WRI 184","","","See the Princeton Writing Program website."
"1152","009999","Institutional Finance  Trading  and Markets","Stephan Luck","ECO 467","","Introductory Asset Pricing Class (ECO 363/FIN 501) or Derivatives Pricing Class (ECO 465/ FIN 522)..","This course covers important theoretical concepts and recent developments in asset pricing under asymmetric information  financial intermediation  behavioral finance and market microstructure. Topics include market efficiency  liquidity crises  asset price bubbles  herding  risk management  market design and financial regulation. The course examines these concepts theoretically as well as via a simulation software  whereby classic decision-making settings are realistically revisited in a competitive classroom environment."
"1152","003859","The Media and Social Issues - Health and Science Journalism","Pamela J. Belluck","JRN 448","SA","Enrollment by application - see course web address.","Transformation in medicine and science is occurring at a remarkable pace  making thoughtful  accurate journalism crucial. This seminar will discuss: finding  reporting and telling compelling stories; determining truth and relevance in scientific research; investigating issues involving ethics  research funding  politics and government oversight; using multimedia  interactivity and social media to enhance storytelling and reporting; combining data and anecdotes to produce meaningful  engaging journalism."
"1152","010535","Engineering Projects in Community Service (EPICS)","Jay B. Benziger|Michael G. Littman","EGR 351","","Completion of EGR 350.","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1152","012910","The Forgotten Ghetto","Mitchell Duneier","FRS 161","SA","","Please see website"
"1152","003143","Advanced German","Barbara N. Nagel","GER 107","","GER 105 or permission of instructor..","Continues improvement of proficiency in speaking  listening  reading  and writing using texts  online media  and other sources as a basis for class discussion. Grammar review is included. Conducted in German."
"1152","003769","The Classical Roots of Western Literature","Daniel Heller-Roazen|P. Adams Sitney","COM 205 HUM 205 HLS 203","LA","","An introduction to comparative literature through readings of major works of the classical Greek  Roman  Arabic and medieval European traditions."
"1152","007996","Fundamentals of Statistics","Robert J. Vanderbei","ORF 245 EGR 245","QR","Three semesters of Calculus or its equivalent.","A first introduction to probability and statistics. This course will provide background to understand and produce rigorous statistical analysis including estimation  confidence intervals  hypothesis testing and regression. Applicability and limitations of these methods will be illustrated in the light of modern data sets and manipulation of the statistical software R. Precepts are based on real data analysis."
"1152","006989","Topics in Policy Analysis (Half-Term) - Game Theory & Strategy (Sess 1)","Sylvain Chassang","WWS 593","","","This course will present some basics about game theory (and perhaps debunk a few myths fostered by the movie \"A Beautiful Mind\"). While the course will be designed around the structure of game theoretic models  building from the simple ones to the more sophisticated  at each stage the emphasis will be on applications. These include models of oligopoly  bargaining  military conflict  legislative voting  and the design of the rules under which to negotiate  vote  or hold an auction."
"1152","002559","Nonlinear Optics","Jason W. Fleischer","ELE 553 MSE 553","","ELE 351 or ELE 352 or Permission Of Instructor..","Introduction to nonlinear optics  second harmonic generation  parametric amplification and oscillation  the electro-optic effect  third order nonlinearities  phase-conjugate optics  photorefractive nonlinear optics  solitons."
"1152","004896","Introduction to Ancient Philosophy","Hendrik Lorenz","PHI 205 CLA 205 HLS 208","EC","","This course discusses the ideas and arguments of major ancient Greek philosophers and thereby introduces students to the history and continued relevance of the first centuries of western philosophy. Topics include the rise of cosmological speculation  the beginnings of philosophical ethics  Plato's moral theory and epistemology  Aristotle's philosophy of nature  metaphysics and ethics. The course ends with a survey of philosophical activity in the Hellenistic period."
"1152","008328","Imagining Childhood","Patrick W. Moran","WRI 118","","","See the Princeton Writing Program website."
