termid,courseid,title,all_listings_string,area,prereqs,descrip
"1142","006954","Topics in Economics - Energy Economics","WWS 581","","","Examines the economics behind many issues related to energy use  including the investment and use of renewable and non-renewable resources  energy conservation  deregulation of energy markets  transportation  and energy independence. Current policy options will be discussed."
"1142","001224","Advanced Creative Writing (Fiction)","CWR 303","LA","CWR 203 or CWR 204 and admission by application only. Please visit the Lewis Center Creative Writing website for application information. Application deadline is April 12  2013..","Advanced practice in the original composition of fiction for discussion in regularly scheduled workshop meetings. The curriculum allows the student to develop writing skills  provides an introduction to the possibilities of contemporary literature and offers perspective on the place of literature among the liberal arts. Criticism by practicing writers and talented peers encourages the student's growth as both creator and reader of literature."
"1142","002442","Combustion Theory","MAE 532","","","Theoretical aspects of combustion: the conservation equations of chemically-reacting flows; activation energy asymptotics; chemical and dynamic structures of laminar premixed and nonpremixed flames; aerodynamics and stabilization of flames; pattern formation and geometry of flame surfaces; ignition  extinction  and flammability phenomena; turbulent combustion; boundary layer combustion; droplet  particle  and spray combustion; and detonation and flame stabilization in supersonic flows."
"1142","002354","Heat Transfer","MAE 423 ENE 423","","MAE 221 and MAE 222  or permission of instructor..","This course will cover fundamentals of heat transfer and applications to practical problems in energy conversion and conservation  electronics  and biological systems. Emphasis will be on developing a physical and analytical understanding of conductive  convective  and radiative heat transfer  as well as design of heat exchangers and heat transfer systems involving phase change in process and energy applications. Students will develop an ability to apply governing principles and physical intuition to solve multi-mode heat transfer problems."
"1142","012525","The Anthropology of Crime and Punishment","ANT 234","SA","","How is crime politicized? How is the figure of The Criminal socially constructed? What concerns about disorder and illegality drive (trans)national governance agendas  and with what consequences? How do anthropologists treat crime and punishment? We will examine the politics and practices of criminalization  securitization  and efforts to impose the rule of law as they occur in local communities  along national borders  and in transnational efforts aimed at policing disorderly worlds. We will read ethnographic accounts ranging from the life-worlds of drug traffickers to international customs regimes seeking to regulate contraband economies."
"1142","011952","Revolutionary Lives in the Atlantic World","HIS 547","","Undergraduates require instructor permission to register..","This course will take a new approach to the \"Age of Democratic Revolutions \" looking at the French  American and Haitian Revolutions through the prism of biography  and notions of selfhood. It will explore how individuals attempted to construct and reconstruct their lives during his period of unprecedented tumult. It will also examine how we can recapture those lives  and how individual biographies can illuminate the period's larger events."
"1142","004465","Topics in History  Analysis  and Interpretation - \"Consonance and Dissonance: A History\"","MUS 430","LA","Music History survey course (MUS 230-238).","A historical survey of changing conceptions of Consonance and Dissonance from antiquity to the modern period."
"1142","009321","Culture and International Order","ANT 375 GSS 374","SA","","This seminar examines the relation of the local to the global from an anthropological perspective. Using documentary and feature film  experiential reports  ethnographies  and analytical essays  it investigates how people  material objects  and ideas are involved in cross-cultural exchange  and how meanings are assigned and created. The focus is on how global orders (of states and of cultural  religious  economic  or legal regimes) are taken up and experienced by individual people  and how such orders initiate unintended effects on local cultures."
"1142","002489","Junior Independent Work","ELE 397","","For each project  the requirements are set in consultation with the faculty advisor  and depend somewhat on the nature of the project. An oral presentation during Reading Period (as per departmental schedule) and a written final report is required. A copy of the report must be turned into the ELE Undergraduate Office Dean's Date. Details of requirements are available from the ELE Undergraduate Office. This course is open to qualified sophomores as well as juniors  provided they are adequately prepared..","Provides an opportunity for a student to concentrate on a \"state-of-the-art\" project in electrical engineering. Topics may be selected from suggestions by faculty members or proposed by the students. The final choice must be approved by the faculty advisor. There is no formal reading list; however  a literature search is a normal part of most projects."
"1142","006673","Hispanic Studies: Introduction to Cultural Analysis","SPA 224","LA","Another SPA 200-level course or instructor's permission..","An introduction to the analysis of contemporary cultural texts (narrative  poetry  film  photography) from Latin America and Spain  with the support of various theoretical ideas. The course's main objective is to provide students with a set of strong conceptual  analytical and linguistic skills  which will be of great help in 300-level literature/culture courses."
"1142","011442","Intermediate Polish","PLS 105","","First year Polish (PLS101 and 102 or equivalent)..","The course reviews  strengthens  and upgrades the knowledge from the first year of language acquisition (PLS101 and 102  or equivalent). While enhancing their familiarity with Polish grammatical structures  students will also develop a broader vocabulary and more idiomatic patterns of expression. All linguistic skills (speaking  reading  writing  listening comprehension) will be practiced  but the main emphasis will be on communicative competence  as well as on a closer acquaintance with Poland's culture and everyday life."
"1142","012512","Economics of the Internet: The Digital Revolution","ECO 326","","ECO 300 or ECO 310 or permission of instructor.","Using applied microeconomic theory and case studies  this course examines the impact of digital technology on markets. In a connected market  information is freely and instantly available to all participants. We ask how these features affect the way markets function. Topics include the economics of platform markets and multisided markets  the impact of the internet on the news media  education  health care and new industries  such as big-data driven industries  social networks  technological innovation and intellectual property  internet security  privacy and other regulatory issues."
"1142","008353","Neuroscience of Being Human  The","WRI 143","","","See the Princeton Writing Program website."
"1142","010209","Advanced Dance Performance and Choreographic Projects","DAN 420","LA","DAN 419/409 or equivalent experience. Interview with faculty for placement in composition section from April 8-19  2013. To arrange an interview  email Professor Lazier (rlazier@) or Professor Fehlandt (fehlandt@) and send a list of any previous composition experience at Princeton. NOTE: Placement for Technique/Repertory component of class will be held Thursday  September 12th from 4:30-6:20 at Hagan Dance Studio at 185 Nassau..","Advanced students will learn and perform dances that represent diverse approaches to contemporary choreography. Technique and Repertory classes encourage rich  subtle and stylistically accurate renditions of choreography and cultivate intelligent and imaginative artistic interpretations. In Choreography classes  students will develop senior thesis projects; they can choose to focus on choreographic development or enhancing artistry as a performer. Classes will foster individual choreographic practices and mentor students as they transfer a dance from the studio to stage. The course is required for all Seniors pursuing a Certificate in Dance."
"1142","000975","General Chemistry I","CHM 201","STL","","CHM 201 (Fall) and CHM 202 (Spring) comprise an overview of Chemistry. This sequence serves as the entry level course for concentrators in Chemistry  and for other sciences requiring General Chemistry as a prerequisite. This sequence is also well suited for premedical students. The goal of General Chemistry is to enhance our understanding of our surroundings through a study of matter at the molecular scale. Topics in CHM 201 include chemical reactions  equilibrium  energy and entropy  quantum theory  atomic structure  and chemical bonding."
"1142","009251","Topics in Country and Regional Economics - Economics of the European Union and Economies in Europe","ECO 372 EPS 342","SA","ECO 100  ECO 101.","This course studies the economies of current and prospective European Union (EU) members and economic integration in Europe after 1945. It explores the political motivation for  and the economic implications of  the European Union's moves towards ever deeper integration and enlargement. Topics include policy-making in the EU  adoption of common policies including European Monetary Union and the Euro and their implications for fiscal and labor market policies  problems raised by an EU enlargement to the East  and economic transition in EU applicant countries. The course uses economic analysis to study policy issues."
"1142","009654","Numerical Algorithms for Scientific Computing","APC 523 AST 523","","","A broad introduction to numerical algorithms used in scientific computing. The course will begin with a review of the basic principles of numerical analysis  including sources of error  stability and convergence of algorithms. The theory and implementation of techniques for linear and nonlinear systems of equations  and ordinary and partial differential equations will be covered in detail. Examples of the application of these methods to problems in physics  astrophysics and other disciplines will be given. Issues related to the implementation of efficient algorithms on modern high-performance computing systems will be discussed."
"1142","001480","Research Program in Development Studies","ECO 581","","","Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend."
"1142","001456","Economics of Labor","ECO 531","","","An examination of the economics of the labor market  especially the forces determining the supply of and demand for labor  the level of unemployment  labor mobility  the structure of relative wages  and the general level of wages."
"1142","012060","Mathematics for Economics/Life Sciences","MAT 175","QR","MAT103 or equivalent..","Survey of topics in calculus and linear algebra as preparation for future course work in economics or life sciences. Topics include basic techniques of integration  average value  improper integrals and rates of growth  partial derivatives  gradient  Lagrange multipliers  linear systems  determinants  matrix inversion  eigenvalues and eigenvectors  as time permits."
"1142","005130","Advanced Physics (Mechanics)","PHY 105","STL","Good mathematical aptitude required - students should be taking MAT 104 or higher concurrently. Students do NOT preregister for PHY 105. Instead  sign up for PHY 103 and select C03 or C04. There is a weakly problem session on Wednesday evenings  7:30-10pm. Do not schedule your lab section for PHY 105 or any other courses during this time slot..","PHY 105 is a first-year course in mechanics  taught at a more sophisticated level than PHY 103. The approach of PHY 105 is that of an upper-division physics course  with more emphasis on derivation and the underlying formal structure of physics than one gets in 103  and with challenging problem sets due each week. Though we get excellent physics majors from both 103 and 105  PHY 105 will give you a better sense of the flavor of the more advanced courses in the department."
"1142","006515","Religion and Public Life","SOC 527","","","Presentation and critical discussion of research in progress by participants. Focuses on the use of social scientific methods in the study of religion and on applications of recently published work about religion and society. Includes an emphasis on religion and public policy in the U. S. and in comparative perspective."
"1142","011164","Implementations of Quantum Information","ELE 568","","","An overview of several approaches to implementing quantum information and computation  touching briefly on quantum algorithms  but the main focus being physical systems. In particular  the course discusses what makes a good quantum system  the physics behind the leading implementations  and the limitations on each. Topics covered will include: superconducting qubits  electron and nuclear spin qubits  and ion trap qubits  as well as descriptions of gate-based  adiabatic  and topologically protected quantum architectures."
"1142","008595","The Rise of France: French Literature  Culture  and Society from the Beginnings to 1789","FRE 221","LA","Prerequisites: FRE 107  FRE 108  or equivalent  or permission of Instructor..","The course will examine the development of French language  literature  and culture from the beginnings to the Revolution: the Middle Ages  the Renaissance  Neo-Classicism  and the Enlightenment. Literary texts from these periods will be examined in light of their cultural context alongside works of art and architecture  non-literary texts  and modern films."
"1142","002682","Forms of Literature - Introduction to U.S. Latina/o Literature","ENG 402 AAS 408 LAO 402","LA","","This course introduces key readings and developments in U.S. Latina/o literature from the early twentieth century to the present. With a focus on Nuyorican  Cuban  Dominican  Chicana/o and Tejana/o populations  students will examine how literature both mirrors and informs conditions of migration; debates about race  gender  and sexuality; issues of language; myths of assimilation; and oral-literary traditions."
"1142","002656","Topics in American Literature - American Literature and the Law","ENG 356","LA","","This course will explore the historical  aesthetic  and critical dimensions of the law in texts of the American literary tradition. Asking in what ways the logics of law and literature alternately compete with and complement one another  we will orient our readings around moments of crisis in the constitution of American citizenship. How do literary texts elaborate the symbolic order of law? We will draw on both literary and legal archives and think about how interdisciplinary methods enable new readings of our texts."
"1142","004455","Computer and Electronic Music Composition","MUS 316","LA","MUS/COS 314 or Permission of the Instructor.","A composition workshop class  in the context of the Princeton Laptop Orchestra (PLOrk) and also the traditional sound studio. Emphasis will be on the student's creative work  composing both \"fixed media\" works and live electronic/laptop music. Students will also work extensively with professional composers and performers  both from Princeton and elsewhere  performing new works as members of PLOrk."
"1142","009392","Special Studies in Modernism - Modernism and Ornament","ENG 567","","","Although Modernism is known for its minimalism  the ornament exercises a hauntingly fraught attraction for the modernists. This course examines how the ornamental detail helps us reconsider discourses about race  gender  and the human and the synthetic in the first half of the twentieth century. We look at the vexed idea of the \"debased detail\" in Modernist aesthetics and its relation to law  affect  space  literature  and value. We attend to what the uneasy relationship between decoration and de-ornamentation can tell us about major modernist movements such as Primitivism  Surrealism  Cubism  Objectivism  and more."
"1142","002598","Junior Seminar in Critical Writing","ENG 300","","","Students learn to write clear and persuasive criticism in a workshop setting while becoming familiar with a variety of critical practices and research methods. The course culminates in the writing of a junior paper. Each section will pursue its own topic: students are assigned according to choices made during sophomore sign-ins. Required of all English majors."
"1142","011131","Drug Discovery in the Genomics Era","CHM 440","","Two semesters of organic chemistry (CHM 301 & 302 OR CHM 303 & 304/304B) or the equivalent..","A detailed review of recent successes and failures in the discovery of new drugs. Therapeutic areas to be discussed include: HIV  oncology  asthma  Alzheimer's Disease  antibiotics  diabetes  and neglected diseases (malaria  TB  human African Trypaonosomiasis). Case studies presented by leading pharmaceutical scientists will complement discussions of the functional steps required to select a target  indentify a new chemical entity  and get it to patients. The course will emphasize the integration of the molecular sciences and the role of chemistry in inventing and producing important new medicines."
"1142","000303","Topics in the History and Theory of Architecture","ARC 403","LA","","We will consider that a successful thesis entails the meeting of a socio-cultural problematic with a specific disciplinary issue  that the confluence and exchange between these external and internal situations can instigate an original contribution to architectural knowledge and technique. The \"newness\" of this contribution comes through a particular kind of repetition  a wily swerve within the established canon. The seminar will introduce disciplinary methods and themes through close readings of architectural texts and objects and will provide a workshop for the testing and elaboration of architectural polemics through directed research."
"1142","012450","Women's Bodies  Women's Lives","ANT 241 GSS 241","SA","","Taking both a global and a local approach  this course investigates how women around the world experience their lives and their bodies across the life cycle. We explore how not only social roles but also images  uses  and meanings of the bodies that all women inhabit are shaped in deep  though often invisible  ways by cultural values and social institutions. Through readings  films  interviews  and ethnographic exercises that compare women's experiences of their bodies in the contemporary US with those of women elsewhere across the globe  the course introduces an anthropological perspective on the gendered body."
"1142","004988","Dissertation Seminar","PHI 599","","","Open to post-generals students actively working on their dissertations. The seminar aims at assisting students in their research and writing and at developing their teaching skills by improving their ability to present advanced material to less expert audiences. Students will make presentations of work in progress  discuss each other's work  and share common pedagogical problems and solutions under the guidance of one or more faculty members. It will meet for two hours each week throughout the academic year."
"1142","010312","The Neural Basis of Goal-Directed Behavior","PSY 417 NEU 417","EC","PSY 258  PSY 259a b  or PSY 334. If you have not satisfied a prerequisite  you must obtain Permission of Instructor before enrolling. Open to undergraduates only..","A fundamental property of human action is its orientation toward specific desired goals. Understanding the computations and neural mechanisms underlying this goal-directedness stands as a central challenge for both psychology and neuroscience. We will review major theories characterizing the role of goals in behavior  from cognitive  social and developmental psychology  animal behavior research  and artificial intelligence. We'll then review a range of neuroscientific data in an effort to sketch out the neural substrates of goal-directed behavior  considering the neural basis of goal evaluation  selection  representation  and pursuit."
"1142","003243","Beginner's Greek: Greek Grammar","CLG 101","","Greek 101-102 are a unit. Greek 102 must be taken to receive credit for 101. Greek 101 must be passed to qualify for 102..","Designed to enable the student to read classical Attic Greek with facility; at the end of the year a short Platonic dialogue or comparable text will be read. Equal emphasis on acquiring a vocabulary and an understanding of the structure of the language."
"1142","004057","Topics in Comparative Literature - The Diary","COM 370","LA","Some reading knowledge of French..","Secret thoughts or historical records; kept daily  occasionally  or over a lifetime; not usually written for publication but often written by published authors; fragmentary by nature--diaries are perhaps the oddest and most various of modern literary forms. The course will consider diaries' many modes and possible uses  looking at examples from noted and less noted diarists from the past three centuries' from shopkeepers to servants to authors of every kind. Students will be asked to `keep' a diary during the course  and to report on that experience in light of issues discussed during the course."
"1142","001192","Laboratory Techniques in Materials Science and Engineering","MSE 302","STL","MSE 301 or MAE 324 or CEE 364. Enrollment in this course is restricted with preference given to Certificate candidates. This course is required for students wishing to obtain a Materials Certificate..","A hands-on introduction to the use of laboratory techniques for processing and characterization in materials science. Structure-property relations will be explored through experiments in mechanical  optical  biological  and electronic properties of materials. The underlying theories and lab techniques will be explained in two weekly lectures covering such topics as electronic and mechanical properties  electron microscopy  electron diffraction and materials processing. The goal of this course if for the student to develop a solid understanding of materials properties and the common techniques used in research  as well as to gain valuable"
"1142","007896","Introductory Playwriting","THR 205","LA","Enrollment by interview with the instructor  Professor Robert Sandberg (rsand@Princeton.edu). Please visit the Theater Program website for specific information..","This is a workshop in the fundamentals of writing plays. Emphasis will be on solving problems of structure  dramatic action  and character. Attention will also be given to innerlife  language  atmosphere on stage  creating living dialogue  and examining the sources to be used in writing  etc."
"1142","003575","Readings in Early American History","HIS 587","","","This course provides an introduction to the historiography of American history in the long 18th century. Readings cover the late colonial period  the American Revolution  and the early national era. While the course is designed to prepare students for general fields in these topics  considerable attention is also paid to wider hemispheric developments as well."
"1142","011416","Introduction to Mesoamerican Material Culture","ART 268 LAS 268","LA","","This course explores the art and archaeology of Mesoamerica  including the cultures and regions of the Olmec  West Mexico  Teotihuacan  Oaxaca  Maya  and Aztec. From temple pyramids and carved stone monuments located in plaza centers to the broken ceramic sherds and stone tools found in household trash deposits  material culture comprises one of the basic resources archaeologists examine to understand past ways of life. The course will explore the inferences scholars make in the analysis of material remains as well as the ways in which material culture was integral to the making of ancient political  economic  religious  and social systems."
"1142","004158","Analysis in a Single Variable","MAT 215","QR","","An introduction to the mathematicsal discipline of analysis  to prepare for higher-level course work in the department. Topics include rigorous epsilon-delta treatment of limits  convergence  and uniform convergence of sequences and series. Continuity  uniform continuity  and differentiability of functions. The Heine-Borel Theorem. The Rieman integral  conditions for integrability of functions and term by term differentiation and integration of series of functions  Taylor's Theorem."
"1142","009205","American Revolutions","WRI 184","","","See the Princeton Writing Program website."
"1142","009999","Institutional Finance  Trading  and Markets","ECO 467","","Introductory Asset Pricing Class (ECO 363/FIN 501) or Derivatives Pricing Class (ECO 465/ FIN 522).","Institutional Finance examines how finance professionals create value through the practical application of the theory of finance. The course presents a unified framework for thinking about financial decisions focused on the perspective of managers of financial institutions. Students should emerge from the semester capable of valuing a broad range of financial instruments and investment opportunities. They will be able to identify  implement  and manage risks associated with a wide variety of investment strategies."
"1142","002591","Public Speaking","ENG 230","LA","","ENG 230 aims to develop effective public speaking skills  along with a complex understanding of what it means to speak. At the same time as we look at some of the key ways in which voice and speech making have been imagined and theorized  we will draw on a variety of vocal and acting exercises to improve confidence and expression in oral presentation. The culmination of the course will be a public talk."
"1142","010535","Engineering Projects in Community Service (EPICS)","EGR 351","","Completion of EGR 350.","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1142","009043","Ethics of Persuasion  The","WRI 173","","","See the Princeton Writing Program website."
"1142","012507","Intellectual History of the Iberian World","HIS 534","","","This course utilizes primary and secondary sources in order to reconstruct the intellectual world of early modern Iberians  including their idiosyncratic goals and methods  their achievements and failures  in order to understand the Peninsula's role in movements from the Renaissance to the Enlightenment. Readings in English and Spanish will be required."
"1142","003143","Advanced German","GER 107","","GER 105 or permission of instructor..","Continues improvement of proficiency in speaking  listening  reading  and writing using texts  online media  and other sources as a basis for class discussion. Grammar review is included. Conducted in German."
"1142","003769","The Classical Roots of Western Literature","COM 205 HUM 205","LA","","An introduction to comparative literature  this course will investigate the many forms of cultural transmission: literary  historical  intellectual  political  religious. Readings of major works of the Greek  Roman  Arabic  and European traditions. From Greeks and barbarians to the Library of Alexandria  the foundation of Rome  the sacred texts of Christianity and Islam  and the traditions of learning in medieval Europe  we shall examine the different ways in which pagan  Jewish  Christian and Muslim cultures of Europe and the Near East have understood themselves as products of transmission."
"1142","004966","Problems of Philosophy - Moral Psychology","PHI 523","","","This seminar will meet on Monday afternoons. It will involve video conferencing with students and faculty at Rutgers and Penn  with outside speakers every other week or so. Various issues in moral psychology will be discussed."
"1142","007996","Fundamentals of Engineering Statistics","ORF 245 EGR 245","QR","Three semesters of Calculus or its equivalent.","A first introduction to probability and statistics. This course will provide background to understand and produce rigorous statistical analysis including estimation  confidence intervals  hypothesis testing and regression. Applicability and limitations of these methods will be illustrated in the light of modern data sets and manipulation of the statistical software R. Precepts are based on real data analysis."
"1142","004439","Russian Music","MUS 339 SLA 311","LA","MUS 105 or MUS 106 or Permission of Instructor..","A detailed survey of Russian music  with emphasis on the 19th and 20th centuries. Topics will include musical realism  orientalism  symbolism  the Ballets Russes  neoclassicism  Soviet cinema music and Russian popular music."
"1142","006989","Topics in Policy Analysis (Half-Term) - Game Theory & Strategy (Sess 1)","WWS 593","","","This course will present some basics about game theory (and perhaps debunk a few myths fostered by the movie \"A Beautiful Mind\"). While the course will be designed around the structure of game theoretic models  building from the simple ones to the more sophisticated  at each stage the emphasis will be on applications. These include models of oligopoly  bargaining  military conflict  legislative voting  and the design of the rules under which to negotiate  vote  or hold an auction."
"1142","012022","The Politics of the Contemporary Muslim World","NES 567","","","The course examines and compares the role of Islamist movements  women's rights movements  and Islamic political parties in shaping social and political change across a variety of cases. It does so through the lens of classic theoretical approaches in political science and sociology. Case studies draw upon the broader Muslim world  with particular emphasis on movements and parties in Iran  Pakistan  Indonesia and Turkey."
"1142","000728","Dynamics of Stellar and Planetary Systems","AST 513","","","Galactic structure  morphology and dynamics. Equilibrium and stability of stellar systems. The gravitational N-body problem  relaxation  dynamical friction  and the Fokker-Planck equation. Encounters and mergers of stellar systems. Spiral structure. Elements of planetary dynamics and celestial mechanics."
"1142","008328","Representing Illness","WRI 118","","","See the Princeton Writing Program website."
"1142","010597","Intensive Portuguese","POR 110","","","An intensive course designed for students who have fulfilled the language requirement in Spanish or another Romance language. Knowledge of one of these languages provides the basis for the accelerated learning of Portuguese. This one-semester 'crash' course teaches fundamental communication skills--comprehension  speaking  reading and writing--and some exposure to cultural aspects of the Portuguese-speaking world  but does not offer an in-depth study of grammar."
"1142","005578","Abnormal Psychology","PSY 207","SA","","Survey of different types of abnormal behaviors and different models of explanation. Students will come to understand the conflicting viewpoints and treatment approaches that characterize the clinical field  and will understand what is presently known and not known about abnormal functioning."
"1142","011993","Special Topics in Social Entrepreneurship - Ventures to Address Global Challenges","EGR 498 GHP 498","","None  other than curiosity about the intersection between global challenges and entrepreneurship. This course is not open to students who took EGR 495 Special Topics in Entrepreneurship: Ventures to Address Global Challenges.","Course focuses on how entrepreneurial ventures - as compared with international aid programs  private philanthropy and corporate social responsibility initiatives - can potentially address major global challenges such as widespread poverty  intractable disease  health policy  slum housing and global warming that affect the lives and well-being of billions. After overview of selected global challenges and the fundamentals of entrepreneurship  will explore emerging and established ventures in each of these challenge arenas in more detail. Classes: combination of lectures and case discussions  interspersed with conversations with entrepreneurs."
"1142","010858","Art  Apartheid  and South Africa","AAS 411 ART 471 AFS 411","LA","","Apartheid  the political doctrine of separation of races in South Africa (1948-1990)  dominated the (South) African political discourse in the second half of the 20th century. While it lasted  art and visual cultures were marshaled in the defense and contestation of its ideologies. Since the end of Apartheid  artists  filmmakers  dramatists  and scholars continue to reexamine the legacies of Apartheid  and the social  philosophical  and political conditions of non-racialized South Africa. Course readings examine issues of race  nationalism and politics  art and visual culture  and social memory in South Africa."
"1142","012432","Ancient Egyptian Archaeology","ART 294 CLA 294 ANT 373","LA","","Everyone knows of Ancient Egypt's monumental pyramids  temples and tombs. Yet it also had cities  fortresses  palaces  potters  and even trash. The archaeological record informs us greatly about Egyptian daily life  craft and economy. In this class students will study the archaeology of Egypt to learn about their history  culture  religion and society. Students will grapple with original material in their presentations of objects  tombs  houses and sites. Moreover students will engage with the collection of the Princeton Museum of Art in a semester long  hands-on project to identify scarab-shaped amulets. The class may also travel to museums."
"1142","003501","Modern Latin America since 1810","HIS 506","","","Course examines interactions between states and citizens since Latin American independence with an additional consideration of the region's integration into global economic and political systems."
"1142","012448","Leadership Development for Business","EGR 494","","There are no prerequisites for this course. Students from all disciplines are welcome..","The Leadership Development for Business course deals with the strategic  organizational and leadership challenges that global corporations face. The course provides students with a unique perspective on leadership vision  and how leaders recognize and capitalize on opportunities. We will focus on how leaders achieve results and make things happen working with and through others. This course presents innovative  practical and field tested methods used by successful business leaders to achieve sustained results. Classes will consist of a mix of classroom lecture  case study discussions and guest speakers."
"1142","008586","Culture and Inequality","WRI 154","","","See the Princeton Writing Program website."
"1142","008339","Witnessing Disaster","WRI 129","","","See the Princeton Writing Program website."
"1142","005396","Comparative Bureaucracy","POL 525","","","A seminar dealing theoretically and empirically with the role of bureaucracy as an integral part of the political system  with an emphasis on the relation of the governmental bureaucracy to other governmental institutions (political parties  executives  legislatures) and to nongovernmental institutions. All aspects are treated comparatively. The course covers different methodologies to the study of bureaucracy."
"1142","004506","Computer Music: Compositional Applications","MUS 538","","","Sound Installation Art: This course is a historical  theoretical  and practical exploration of sound art. Writings about sound art and documentation of pieces are discussed in class. In the practical component of the course  students are expected to produce a sound art installation."
"1142","011471","Responsible Conduct of Research in Chemistry (Half-Term)","CHM 500","","","Discussion and evaluation of the role professional researchers play in dealing wtih the reporting of research  responsible authorship  human and animal studies  misconduct and fraud in science  intellectual property  and professional conduct in scientific relationships. Participants are expected to read the materials and cases prior to each meeting. Successful completion is based on regular attendance and active participation in discussion. This half-term course is designed to satisfy federal funding agencies' requirements for training in the ethical practice of scientists. Required for chemistry graduate students/post-docs."
