termid,courseid,title,prof_string,all_listings_string,area,prereqs,descrip
"1154","011595","Intermediate Polish","Mark R. Pettus","PLS 107","","PLS 105.","The class will continue to improve students' knowledge of Polish through conversation and review of grammar  and it will enhance their reading skills through the analysis and translation of some Polish poetry and fragments of prose. There will be also short written assignments."
"1154","002340","Aircraft Design","Luigi Martinelli","MAE 332","","MAE 321 and MAE 331 and MAE 335..","This course discusses methods for the design of aircraft. Topics in aerodynamics  and structural design are emphasized in the context of a design project. Students will be required to complete a design project to fulfill the requirements of this class."
"1154","010276","Engineering Projects in Community Service (EPICS): Non-credit","Jay B. Benziger|Michael G. Littman","EGR 350","","Juniors only (except for sophomores who have completed EGR 251)..","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1154","009655","Contemporary Theories of Gender and Sexuality","Gayle Salamon","GSS 400","SA","GSS 201 or equivalent..","We will take as our primary text the new translation of Simone deBeauvoir's landmark volume The Second Sex  one of the most significant origin points of current understandings of gender. In our sustained consideration of The Second Sex  we will explore Beauvoir's ideas about the influence of sex and gender on childhood  the family  sexuality  relationships  aging  work  the social order  and the philosophical imaginary. We will also consider contemporary fiction and film alongside that text  taking Beauvoir as our tour guide as we encounter and interpret contemporary representations of gender."
"1154","006205","Dante's \"Purgatorio\" and \"Paradiso\"","Simone Marchesi","ITA 304","LA","Course will be taught in Italian. One Italian 200-level course or Permission of Instructor..","The course provides an occasion for the collaborative study of Dante's Commedia in its totality. Equal time will be devoted to each \"Cantica\" including a thorough review of \"Inferno\". \"Vita Nuova\" will be read over the the break."
"1154","001472","Research Methods in Demography","Tod G. Hamilton","POP 502 ECO 572 SOC 532","","POP 501/ECO 571/SOC 531 or instructor's permission..","Source materials used in the study of population; standard procedures for the measurement of fertility  mortality  natural increase  migration  and nuptiality; and uses of model life tables and stable population analysis and other techniques of estimation when faced with inaccurate or incomplete data are studied."
"1154","010810","Chinese Art in the Century of Revolution","Jerome Silbergeld","ART 352 EAS 353","LA","","Chinese art in the 20th century  considered in terms of international influence and domestic struggles  cultural exhaustion and alternative modernities  state-dominated art and censorship  the Chinese cultural disapora  and the international success of Chinese art today."
"1154","002441","Combustion","Chung K. Law","MAE 531 ENE 531","","","Chemical thermodynamics and kinetics  oxidation of hydrogen  hydrocarbons and alternate fuels  pollutant chemistry and control  transport phenomena  laminar premixed and nonpremixed flames  turbulent flames  ignition  extinction  and flammability phenomena  flame stabilization and blowoff  detonation and blast waves  droplet  spray and coal particle combustion  principles of engine operation."
"1154","009587","Between Resistance and Collaboration: The Second World War in Europe","Jan T. Gross","HIS 341","HA","PDF option not available to History concentrators..","In the broader context of conflict between fascism  communism  and liberal democracy  we shall examine various patterns and methods of occupation  collaboration  and resistance during World War II in Western and Eastern Europe. The Holocaust of European Jewry and the technology of terror will be discussed. We will try to ascertain how elites and different social strata were affected by the impact of war and occupation. Students will be asked to read historical studies as well as personal narratives by eyewitnesses and participants."
"1154","005125","Introductory Physics II","Steven S. Gubser|Norman C. Jarosik","PHY 102","STL","PHY 101.","This course presents an introduction to the fundamental laws of nature  especially optics  electricity/magnetism  nuclear and atomic theory. These are treated quantitatively with an emphasis on problem solving. The laboratory is intended to give students an opportunity to observe physical phenomena and to gain \"hands-on\" experience with apparatus and instruments."
"1154","009577","Topics in African American Literature - African American Literature and the Law","Christopher M. Brown","AAS 392 ENG 392","LA","","This course will investigate the contours of the troubled and troubling relationship between the law and African American literature. Exploring the archives of both traditions and their canonical texts  we will ask how each informs the other's formal and aesthetic modes. We will map the literary and legal histories of the seminar's primary texts. And finally  we will inquire into the political efficacy of the literature's engagement with the law - how have the texts of the African American literary tradition shaped  and shaped themselves in response to  the law's (in)ability to read the narratives of black Americans?"
"1154","011835","The Invention of the Promised Land: American Jewish History","Yaacob Dweck","AMS 338 JDS 336 HIS 450","HA","","Over the past three and a half centuries Jewish immigrants have described America both as \"the promised land\" and \"the land of impurity.\" This course examines these conflicting descriptions as it explores developments in Jewish life in America from the mid seventeenth century through the late twentieth century."
"1154","006276","Advanced Russian Reading and Conversation II","Ksana Blank","RUS 208","","RUS 207 or permission of instructor..","A continuation of 207. Reading and discussion of the literary texts (20th-century poetry) and the poets' biographies; review of selected grammar topics; work with two movies."
