termid,courseid,title,all_listings_string,area,prereqs,descrip
"1162","005339","Chinese Politics","POL 362 WWS 323 EAS 362","SA","All students interested in China are welcome. No previous knowledge of China/Chinese is required..","This course provides an overview of China's political system. We will begin with a brief historical overview of China's political development from 1949 to the present. The remainder of the course will examine the key challenges facing the current generation of CCP leadership  focusing on prospects for democratization and political reform. Among other topics  we will examine: factionalism and political purges; corruption; avenues for political participation; village elections; public opinion; protest movements and dissidents; co-optation of the business class; and media and internet control."
"1162","012512","Economics of the Internet: The Digital Revolution","ECO 326","","ECO 300 or ECO 310 or permission of instructor.","Using applied microeconomic theory and case studies  this course examines the impact of digital communications technology (DCT) on markets. DCT has enabled connections between markets  so that information is instantly  continuously and ubiquitously available. We will study the economics of networked markets  whose drivers are connectivity and big data. Is the Internet eliminating intermediaries? Is there more granularity of economic agents? Has the concept of time changed? Topics will include social networks  privacy  security and innovation."
"1162","008353","Sex on the Brain","WRI 143","","","See the Princeton Writing Program website."
"1162","013231","Conflict Shorelines I / Amazonia: A Botanical Archaeology of Genocide","LAS 505 ENG 506 ARC 540 HUM 505 URB 505","","","This course explores the relations among colonial history  contemporary conflicts  and climate change by examining the political  legal  epistemic  and aesthetic challenges this kind of violence initiates. Reading colonial and urban histories against meteorological and climate data  we use environmental modes of detection and imaging in order to reveal tropical forests to be archaeological resources in which patterns of human intervention and violence can be read. The Amazon is not only an ecological threshold  but also a political one  and it continues to bear the traces of the deadliest land conflicts in Brazil."
"1162","012702","Fundamentals of Nanophotonics","ELE 561 PHY 565 MSE 556","","Knowledge of basic linear algebra and differential equations at the undergraduate level is assumed. Prior knowledge of quantum mechanics is not required  but helpful..","Introduction to theoretical techniques for understanding and modeling nanophotonic systems  emphasizing important algebraic properties of Maxwell's equations. Topics covered include Hermitian eigensystems  photonic crystals  Bloch's theorem  symmetry  band gaps  omnidirectional reflection  localization and mode confinement of guided and leaky modes. Techniques covered include Green's functions  density of states  numerical eigensolvers  finite-difference and boundary-element methods  coupled-mode theory  scattering formalism  and perturbation theory. The course explores application of these techniques to current research problems."
"1162","010209","Advanced Dance Performance and Choreographic Projects","DAN 420","LA","DAN 419/409 or equivalent experience. Interview with faculty for placement in composition section from April 6-17  2015. To arrange an interview  email Prof. Marshall (sm9@) and send a list of any previous composition experience at Princeton. NOTE: Placement for technique/repertory component of class will be held Wednesday  September 16 from 4:30-6:20 at Hagan dance studio at 185 Nassau..","Advanced students will learn and perform dances that represent diverse approaches to contemporary choreography. Technique and Repertory classes encourage rich  subtle and stylistically accurate renditions of choreography and cultivate intelligent and imaginative artistic interpretations. In Choreography classes  students will develop senior thesis projects; they can choose to focus on choreographic development or enhancing artistry as a performer. Classes will foster individual choreographic practices and mentor students as they transfer a dance from the studio to stage. The course is required for all Seniors pursuing a Certificate in Dance."
"1162","005208","Electronic Methods in Experimental Physics","PHY 557","","","This course is targeted for graduate students from all departments and undergraduate physics majors. The seminar introduces students to the basic techniques of electronics and instrumentation used to conduct experiments in the physical sciences. The course begins by teaching a foundation in analog and digital circuits including programmable digital logic devices using an iPad interface for data acquisition. Students develop measurement techniques in a wide range of experimental areas."
"1162","000975","General Chemistry I","CHM 201","STL","","CHM 201 (Fall) and CHM 202 (Spring) comprise an overview of Chemistry. This sequence serves as the entry level course for concentrators in Chemistry  and for other sciences requiring General Chemistry as a prerequisite. This sequence is also well suited for premedical students. The goal of General Chemistry is to enhance our understanding of our surroundings through a study of matter at the molecular scale. Topics in CHM 201 include chemical reactions  equilibrium  energy and entropy  quantum theory  atomic structure  and chemical bonding."
"1162","009251","Economics Europe","ECO 372 EPS 342","SA","ECO 100  ECO 101.","Europe is at a crossroads. Political and economic integration in the European Union (EU) exceeds levels reached in other parts of the world. Economic integration not only affects trade but agriculture  competition  regions  energy  and money. Most euro areas economies have been struggling with interlocking crises involving debt  banking and growth  which challenge the viability of monetary union and threaten much of what has been achieved since 1945. This course studies economic integration in Europe  the ongoing euro crisis  and economic challenges facing EU member countries. It uses economic analysis to study policy issues."
"1162","001480","Research Program in Development Studies","ECO 581","","","Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend."
"1162","001456","Economics of Labor","ECO 531","","","An examination of the economics of the labor market  especially the forces determining the supply of and demand for labor  the level of unemployment  labor mobility  the structure of relative wages  and the general level of wages."
"1162","013281","Writing about Ideas","JRN 454","LA","Departmental permission is required to enroll during add/drop period. Please email the program manager at ldetitta@princeton.edu..","Journalists play a crucial role in intellectual life. They popularize and challenge the work of scholars and scientists  probe the world views that motivate political actors  and bring philosophical debates to the surface of public life  making the case for their relevance and even their urgency. In this course we will read and study works of intellectual narrative journalism. We will look at writerly strategies for conveying and distilling complexity within storytelling  and we will produce our own journalism."
"1162","012060","Mathematics for Economics/Life Sciences","MAT 175","QR","MAT103 or equivalent..","Survey of topics from multivariable calculus as preparation for future course work in economics or life sciences. Topics include basic techniques of integration  average value  vectors  partial derivatives  gradient  optimization of multivariable functions  and constrained optimization with Lagrange multipliers."
"1162","005130","Advanced Physics (Mechanics)","PHY 105","STL","Good mathematical aptitude required - students should be taking MAT 104 or higher concurrently. Students do NOT preregister for PHY 105. Instead  sign up for PHY 103 and select C03 or C04. There is a weekly problem session on Wednesday evenings  7:30-10pm. Do not schedule your lab section for PHY 105 or any other courses during this time slot..","PHY 105 is a first-year course in mechanics  taught at a more sophisticated level than PHY 103. We get excellent physics majors from both 103 and 105. The approach of PHY 105 is that of an upper-division physics course  with more emphasis on derivation and the underlying formal structure of physics than one gets in 103  and with challenging problem sets due each week."
"1162","006515","Religion and Public Life","SOC 527","","","Presentation and critical discussion of empirical research in progress by participants. Focuses on the use of social science methods in the study of religion and on applications of recently published work about religion and society. Includes an emphasis on religion and public policy in the U. S. and in comparative perspective."
"1162","012120","Science and Global Security: From Nuclear Weapons to Cyberwarfare","WWS 353 MAE 353","STN","No prerequisites..","This course provides students with the basic understanding of the science and technology relevant to important national and global security issues. The material and the exercises covered during the semester will equip students with the skills to better assess the challenge of developing effective policies to manage related security risks. Case studies include nuclear weapons and their proliferation  ballistic missiles  chemical weapons  biological weapons and biosecurity  security challenges of climate change  big data and cyberwarfare."
"1162","011164","Implementations of Quantum Information","ELE 568","","","An overview of several approaches to implementing quantum information and computation  touching briefly on quantum algorithms  but the main focus being physical systems. In particular  the course discusses what makes a good quantum system  the physics behind the leading implementations  and the limitations on each. Topics covered will include: superconducting qubits  electron and nuclear spin qubits  and ion trap qubits  as well as descriptions of gate-based  adiabatic  and topologically protected quantum architectures."
"1162","006917","Economic Analysis of Development (Advanced)","WWS 562","","WWS 507C & 511C.","Considers theories and evidence to explain processes of economic development; examines theories of economic growth  and the two-way links between development and poverty  inequality  social institutions  and the family. Policy debates on education  health  and social policy  and governmental and international aid are also covered."
"1162","013237","Introduction to Musical Theater Writing","THR 322 MUS 381","LA","This course is by application. Applicants will be asked to identify as composer  lyricist  bookwriter/playwright  or some combination of the three. Composer applicants should have experience writing and notating music  but are not required to have previously written for the theatre. Please visit the Theater Program website to apply..","This workshop will introduce students to the craft of writing words and music for the musical theatre. In addition to weekly and in-class practical assignments in technique and skill-building  the course will explore key moments in musical theatre history  criticism and to place students' work in a larger context. Readings will illuminate how the specific areas of craft addressed have been handled by masters in different areas of musical theatre. Because collaboration is central to the creation of musical theatre  students will work in different teams during the semester. The workshop will culminate with a presentation of works-in-progress."
"1162","002682","Forms of Literature - Introduction to U.S. Latina/o Literature","ENG 402 LAO 402","LA","","This course introduces key readings and developments in U.S. Latina/o literature from the early twentieth century to the present. With a focus on Nuyorican  Cuban  Dominican  Chicana/o and Tejana/o populations  students will examine how literature both mirrors and informs conditions of migration; debates about race  gender  and sexuality; issues of language; myths of assimilation; and oral-literary traditions."
"1162","012913","Effective Mathematical Communication","MAT 500","","For second-year graduate students..","This course is for second-year graduate students to help them develop their writing and speaking skills for communicating mathematics in a wide variety of settings  including teaching  grant applications  teaching statement  research statement  talks aimed at a general mathematical audience  and seminars  etc. In addition  responsible conduct in research (RCR) training is an integral part of this course."
"1162","011498","Topics in Policy Analysis (Half-Term) - Writing for Policymakers and the Public","WWS 593","","","This half-term course is designed to hone students' ability to write effectively for policymakers and for public audiences. Students have the opportunity to improve their memo-writing skills and gain experience drafting other frequently-used materials  such as fact sheets  talking points  Q&A documents  speeches  and press releases. This course is particularly useful for students interested in working with elected officials  either from a position in the non-profit sector or directly in government."
"1162","002598","Junior Seminar in Critical Writing","ENG 300","","","Students learn to write clear and persuasive criticism in a workshop setting while becoming familiar with a variety of critical practices and research methods. The course culminates in the writing of a junior paper. Each section will pursue its own topic: students are assigned according to choices made during sophomore sign-ins. Required of all English majors."
"1162","011131","Drug Discovery in the Genomics Era","CHM 440","","Two semesters of organic chemistry (CHM 301 & 302 OR CHM 303 & 304/304B) or the equivalent..","A detailed review of recent successes and failures in the discovery of new drugs. Therapeutic areas to be discussed include: HIV  oncology  asthma  Alzheimer's Disease  antibiotics  diabetes  and neglected diseases (malaria  TB  human African Trypaonosomiasis). Case studies presented by leading pharmaceutical scientists will complement discussions of the functional steps required to select a target  indentify a new chemical entity  and get it to patients. The course will emphasize the integration of the molecular sciences and the role of chemistry in inventing and producing important new medicines."
"1162","000303","Topics in the History and Theory of Architecture","ARC 403","LA","","We will consider that a successful thesis entails the meeting of a socio-cultural problematic with a specific disciplinary issue  that the confluence and exchange between these external and internal situations can instigate an original contribution to architectural knowledge and technique. The \"newness\" of this contribution comes through a particular kind of repetition  a wily swerve within the established canon. The seminar will introduce disciplinary methods and themes through close readings of architectural texts and objects and will provide a workshop for the testing and elaboration of architectural polemics through directed research."
"1162","010332","The Politics of Growth & Redistribution","POL 530","","","This course is designed to survey and critically discuss contemporary political economy; that is  the set of existing theories that model the impact of political conflict and political institutions on economic performance. The course is structured around the following main issues: the causes of growth; the relationship between openness  political institutions and economic policy-making  the causes and consequences of politically enforced redistribution. The course is analytical in its theoretical perspective and comparative from a methodological point of view."
"1162","011451","Topics in Theory and Practice of Anthropology - Anthropology of the Self","ANT 521","","","From Buddhism in Asia to psychoanalysis in the West  the self is an important object of speculation  analysis  and power. Through ethnography  psychoanalysis  literature  philosophy  television serials  and film  we examine three questions: How is the self formed? Under what conditions can the self change? What is the self's relationship to Oedipal triangulation and capitalism? The goal is to arrive at a deeper and more nuanced understanding of the self as an object  and of the ethical and social implications of this understanding."
"1162","004988","Dissertation Seminar","PHI 599","","","Open to post-generals students actively working on their dissertations. The seminar aims at assisting students in the research and writing and at developing their teaching skills by improving their ability to present advanced material to less expert audiences. Students will make presentations of work in progress  discuss each other's work  and share common pedagogical problems and solutions under the guidance of one or more faculty members. It will meet for two hours each week throughout the academic year."
"1162","003243","Beginner's Greek: Greek Grammar","CLG 101","","Greek 101-102 are a unit. Greek 102 must be taken to receive credit for 101. Greek 101 must be passed to qualify for 102..","Designed to enable the student to read classical Attic Greek with facility; at the end of the year a short Platonic dialogue or comparable text will be read. Equal emphasis on acquiring a vocabulary and an understanding of the structure of the language."
"1162","012128","Britain and France in the Eighteenth Century","HIS 539","","This course is open to seniors with the permission of the instructors..","A survey of some of the main themes of British and French history in the eighteenth century. Topics will include nationalism  forms of government  the age of revolutions  comparative empires  and warfare."
"1162","004537","Special Topics in the History of Science  Technology  and Medicine - Experiments in Early Science","HOS 599 HIS 599","","Juniors and seniors may enroll with permission of the instructor..","What counts as an experiment and how did experiment become the arbiter of scientific discovery? This course will draw on ancient  medieval and early modern sources  as well as the modern historiography of experiment  to explore the theoretical and practical challenge of observing and testing nature. As far as possible  we will attempt to recreate experiments in class  from medieval Arabic alchemy to Elizabethan cookery and Newtonian optics."
"1162","009188","Seminar in International Relations - The Military Instrument of Foreign Policy","POL 443","SA","","This course examines the role of the military in the formulation and implementation of foreign policy. The course will cover the theory of civil-military relations and how the military influences foreign policy decision-making. We will investigate theories of conflict  nuclear war and deterrence  diverse forms of warfare  the efficacy of war termination strategies  and what future trends in warfare portends for the military instrument of foreign policy. The aim of the course is to help acquaint students with role of the military in the formulation and implementation of foreign policy and in the functioning of the international system."
"1162","011885","Harlem Renaissance and Black Arts Movements","AAS 245 ART 245","LA","","This course surveys important moments in 20th-Century African American art from the Harlem Renaissance in the 1920s to the 1960s Black Arts movement. Our close studies of the work of major artists will be accompanied by examination of influential theories and ideologies of blackness during two key moments of black racial consciousness in the United States. We shall cover canonical artists and writers such as Aaron Douglas  James van der Zee  William H. Johnson  Jacob Lawrence  Romare Bearden  Faith Ringgold  Betye Saar  W. E. B. Du Bois  Alain Locke  James Porter and Jeff Donaldson."
"1162","001192","Laboratory Techniques in Materials Science and Engineering","MSE 302","STL","MSE 301 or MAE 324 or CEE 364. Enrollment in this course is restricted with preference given to Certificate candidates. This course is required for students wishing to obtain a Materials Certificate..","A hands-on introduction to the use of laboratory techniques for processing and characterization in materials science. Structure-property relations will be explored through experiments in mechanical  optical  biological  and electronic properties of materials. The underlying theories and lab techniques will be explained in two weekly lectures covering such topics as electronic and mechanical properties  electron microscopy  electron diffraction and materials processing. The goal of this course if for the student to develop a solid understanding of materials properties and the common techniques used in research  as well as to gain valuable"
"1162","007896","Introductory Playwriting","THR 205","LA","Enrollment by interview with the instructor  Professor Robert Sandberg (rsand@Princeton.edu). Please contact Professor Sandberg for more information..","This is a workshop in the fundamentals of writing plays. Emphasis will be on solving problems of structure  dramatic action  and character. Attention will also be given to innerlife  language  atmosphere on stage  creating living dialogue  and examining the sources to be used in writing  etc."
"1162","003400","Modern Jewish History: 1750-Present","HIS 359 JDS 359","HA","","This course surveys the breadth of Jewish experience from the era of the Enlightenment to the contemporary period. Tracing the development of Jewish cultures and communities in Europe  the Middle East  and the United States against the background of general history  the lectures focus on themes such as the transformation of Jewish identity  the creation of modern Jewish politics  the impact of anti-semitism  and the founding of the State of Israel."
"1162","013266","Art & Nationalism in Modern Italy","ECS 355 ART 340 ARC 355 HUM 355","LA","","Following Italian unification Massimo d'Azaglio remarked  \"Italy has been made; now it remains to make Italians.\" This course examines the art and architectural movements of the roughly 100 years between the1848 uprising and the beginning of the World War II  a critical period for defining italianità. Topics include the paintings of the Macchiaioli  reactions to the 1848 uprisings and the Italian Independendence Wars  the politics of 19th Century architectural restoration in Italy  the re-urbanization of Italy's new capital Rome  Fascist architecture and urbanism  and the architecture of Italy's African colonies."
"1162","003916","Seminar in Italian Literature and Culture - Italy: The Land of Slow-Food","ITA 401","LA","A 200-level Italian course or permission of Instructor; reading knowledge of Italian required..","Combining an analysis of Italian literary texts with works of visual art  this course studies the art of cookery in relation to people's environment and history. From Middle Ages to the 21st-century (Dante  Boccaccio  Michelangelo  Goldoni  d'Annunzio  Magris)  topics will explore the conceptual preconditions that in recent years have generated the Slow-Food movement  its recycling of its own old traditions as well as its worldwide impact. This course examines food as a window into gender  class and traditions  where food is defined in terms of nutritional health and taste as well as social and ethical phenomena  such as the value of nature."
"1162","004158","Honors Analysis (Single Variable)","MAT 215","QR","","An introduction to the mathematicsal discipline of analysis  to prepare for higher-level course work in the department. Topics include rigorous epsilon-delta treatment of limits  convergence  and uniform convergence of sequences and series. Continuity  uniform continuity  and differentiability of functions. The Heine-Borel Theorem. The Rieman integral  conditions for integrability of functions and term by term differentiation and integration of series of functions  Taylor's Theorem."
"1162","010437","Muslims and the Qur'an","NES 240 REL 240","EM","","A broad-ranging introduction to pre-modern  modern  and contemporary Islam in light of how Muslims have approached their foundational religious text  the Qur'an. Topics include: Muhammad and the emergence of Islam; theology  law and ethics; war and peace; mysticism; women and gender; and modern debates on Islamic reform. We shall examine the varied contexts in which Muslims have interpreted their sacred text  their agreements and disagreements on what it means and  more broadly  their often competing understandings of Islam and of what it is to be a Muslim."
"1162","009999","Institutional Finance  Trading  and Markets","ECO 467","","Introductory Asset Pricing Class (ECO 363/FIN 501) or Derivatives Pricing Class (ECO 465/ FIN 522)..","This course covers important theoretical concepts and recent developments in asset pricing under asymmetric information  financial intermediation  behavioral finance and market microstructure. Topics include market efficiency  liquidity crises  asset price bubbles  herding  risk management  market design and financial regulation. The course examines these concepts theoretically as well as via a simulation software  whereby classic decision-making settings are realistically revisited in a competitive classroom environment."
"1162","003859","The Media and Social Issues - An Introduction to Magazine Writing","JRN 448","SA","Departmental permission is required for enrollment during add/drop period. Please email the program manager at ldetitta@princeton.edu..","The advantage of narrative writing is that it can honor a story's complexity  while keeping readers on the edge of their seat. Whether the goal is to explore an important social issue  or to create a nuanced portrait of another person  narrative stories are often full of surprising twists and turns. We'll look at how this works  starting with the critical choice of who and what to write about. Each week  we'll explore aspects of what makes a story sing  from small-scale details (word choice  character and scene) to large (journeys  mysteries  conflict). All will shed light on how to represent a complex subject with clarity and verve."
"1162","010535","Engineering Projects in Community Service (EPICS)","EGR 351","","Completion of EGR 350.","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1162","013374","Fantasy in the Hold: Black Fantasy from Equiano to Delany","FRS 161","LA","","See website"
"1162","003143","Advanced German","GER 107","","GER 105 or permission of instructor..","Continues improvement of proficiency in speaking  listening  reading  and writing using texts  online media  and other sources as a basis for class discussion. Grammar review is included. Conducted in German."
"1162","003769","The Classical Roots of Western Literature","COM 205 HUM 205 HLS 203","LA","","An introduction to comparative literature through readings of major works of the classical Greek  Roman  and European traditions."
"1162","007996","Fundamentals of Statistics","ORF 245 EGR 245","QR","MAT 201 concurrent or equivalent.","A first introduction to probability and statistics. This course will provide background to understand and produce rigorous statistical analysis including estimation  confidence intervals  hypothesis testing and regression. Applicability and limitations of these methods will be illustrated using a variety of modern real world data sets and manipulation of the statistical software such as Matlab or R. Precepts are based on real data analysi."
"1162","013309","Smartphone Security and Architecture","ELE 470","","ELE 375 or ELE 206 and COS 126  or equivalent computer knowledge. Security basics will be covered in class  so no prior security knowledge required..","Smartphones are the de-facto computing and communications devices of tomorrow. They can access any information in cyberspace and perform any computations through cloud computing and locally. We study smartphone design and security through an architectural perspective. Topics include smartphone system architecture; System-on-Chip design; heterogeneous and multicore processors; sensors  multimedia  communications and storage subsystems; basic security concepts; hardware and software security in smartphones; security vulnerabilities; use and abuse of built-in sensors; associated wearables and Internet-of-Things; and security improvements."
"1162","002872","Contemporary French Civilization","FRE 313","SA","Prerequisite: a 200-level French course or permission of Instructor..","This conversation- and writing-based course allows students to discuss  analyze  and debate the most important current events and issues in France using articles from Le Monde and other newspapers  magazines  scholarly journals  television and radio programs  and blogs. Each week  a different issue will be discussed  including topics such as Islamophobia and radical Islam; far-right nationalism; immigration; France  the E.U. and the U.S.; universalism; family politics; the Francophone world; media  education  the arts  and technology."
"1162","004896","Introduction to Ancient Philosophy","PHI 205 CLA 205 HLS 208","EC","","This course discusses the ideas and arguments of major ancient Greek philosophers and thereby introduces students to the history and continued relevance of the first centuries of western philosophy. Topics include the rise of cosmological speculation  the beginnings of philosophical ethics  Plato's moral theory and epistemology  Aristotle's philosophy of nature  metaphysics and ethics. The course ends with a survey of philosophical activity in the Hellenistic period."
"1162","013265","Balzac: The Invention of the 19th Century","ECS 329 COM 384 FRE 329","LA","Reading knowledge of French desirable but not required..","The Nineteenth Century as we know it is largely an invention of Balzac's  said Oscar Wilde. The seminar will focus on Balzac's understanding and dramatization of a new era  its growing cities  its increasingly mobile population  its dynamic forces  its intellectual self-reflections  through a reading of his novels  and some related materials by Baudelaire  Flaubert  Henry James. Novels may be read in French original or in translation; some knowldge of French helpful though not required."
"1162","005541","Luso-Brazilian Seminar - Machado de Assis","POR 562 LAS 562","","","This seminar will focus on the work of Machado de Assis (1839-1908). Through the analysis and discussion of recent criticism we will be able to perceive that some of the most interesting social issues of contemporary Brazil can be found in Machado's plots  thus raising questions about the relationship between literature and society  writing and politics  center and periphery."
"1162","000728","Dynamics of Stellar and Planetary Systems","AST 513","","","Galactic structure  morphology and dynamics. Equilibrium and stability of stellar systems. The gravitational N-body problem  relaxation  dynamical friction  and the Fokker-Planck equation. Encounters and mergers of stellar systems. Spiral structure. Elements of planetary dynamics and celestial mechanics."
"1162","008328","Imagining Childhood","WRI 118","","","See the Princeton Writing Program website."
"1162","013289","The \"Work\" of Architecture: History  Theory  Criticism  and Design","ARC 548","","","The seminar will study selected architectural projects and buildings in the context of their critical and historical reception  and their active influence on theory and design from the Renaissance to the present. The case study approach will allow for understanding the work in relation to the theoretical (and sometimes philosophical) intentions of the architect/artist  its reception  its fortunes in criticism and history  and its implications for contemporary interpretation and design."
"1162","010597","Intensive Portuguese","POR 110","","","An intensive course designed for students who have fulfilled the language requirement in Spanish or another Romance language. Knowledge of one of these languages provides the basis for the accelerated learning of Portuguese. This one-semester 'crash' course teaches fundamental communication skills--comprehension  speaking  reading and writing--and some exposure to cultural aspects of the Portuguese-speaking world  but does not offer an in-depth study of grammar."
"1162","005578","Psychopathology","PSY 207","SA","","Survey of different types of mental illness and different models of explanation. Students will come to understand the conflicting viewpoints and treatment approaches that characterize the clinical field  and will understand what is presently known and not known about mental dysfunction."
